month,ic,factor,horizon
2025-03,0.05817958513199966,gap,5
2025-04,0.014463648555675316,gap,5
2025-05,0.0470862277914374,gap,5
2025-06,-0.04624268564990162,gap,5
2025-07,-0.038632021740770774,gap,5
2025-08,0.006366305168323344,gap,5
2025-09,-0.040815957234984546,gap,5
2025-10,0.03257301994114377,gap,5
2025-11,0.10233903696852722,gap,5
2025-12,0.021989404138209823,gap,5
2026-01,-0.001458340048841431,gap,5
2026-02,0.0011261183586066933,gap,5
2026-03,0.09156500006483886,gap,5
2026-04,0.06469287953989253,gap,5
2026-05,0.07415389025154905,gap,5
2026-06,0.030348975047813316,gap,5
2026-07,0.02670195834972169,gap,5
2026-08,0.025845498552951547,gap,5
2026-09,-0.08566217153777902,gap,5
2025-01,-0.12287643274652624,ret5,20
2025-02,0.010081956581408928,ret5,20
2025-03,0.07180697887005538,ret5,20
2025-04,-0.140086400833939,ret5,20
2025-05,0.03754942469979212,ret5,20
2025-06,-0.08452364606718833,ret5,20
2025-07,-0.03542691869213729,ret5,20
2025-08,0.0038789661684368354,ret5,20
2025-09,-0.07692162244587976,ret5,20
2025-10,-0.09268558843934899,ret5,20
2025-11,-0.020672495368873604,ret5,20
2025-12,0.13333612427028146,ret5,20
2026-01,0.07380088151413014,ret5,20
2026-02,-0.2436439025620822,ret5,20
2026-03,-0.07729405108502192,ret5,20
2026-04,0.05762159605269764,ret5,20
2026-05,0.10006877275320508,ret5,20
2026-06,-0.11631603639640975,ret5,20
2026-07,-0.034667945626832196,ret5,20
2026-08,-0.16036043711408468,ret5,20
2025-01,-0.2192268907563025,ret20,20
2025-02,-0.08850998108404555,ret20,20
2025-03,-0.05907769583456759,ret20,20
2025-04,-0.3126597780425591,ret20,20
2025-05,-0.06110622655906245,ret20,20
2025-06,0.010796545680104037,ret20,20
2025-07,0.05428700322644202,ret20,20
2025-08,0.07113662782473396,ret20,20
2025-09,-0.0009952605535615026,ret20,20
2025-10,-0.15935037032883137,ret20,20
2025-11,-0.04575027153641292,ret20,20
2025-12,0.13949165705806735,ret20,20
2026-01,0.17419805104867156,ret20,20
2026-02,-0.02766306159487388,ret20,20
2026-03,-0.22160304950879464,ret20,20
2026-04,-0.07142730037553077,ret20,20
2026-05,0.10202992652470134,ret20,20
2026-06,-0.07043470745830091,ret20,20
2026-07,-0.34846993618292293,ret20,20
2026-08,-0.15487360673122935,ret20,20
2025-01,-0.05048739495798319,ret60,20
2025-02,-0.19126655444262705,ret60,20
2025-03,-0.1624333163332271,ret60,20
2025-04,-0.22300164835963546,ret60,20
2025-05,-0.1186941677519779,ret60,20
2025-06,-0.036893157262905166,ret60,20
2025-07,-0.08075795716311869,ret60,20
2025-08,-0.046177989277582286,ret60,20
2025-09,-0.03660954022687785,ret60,20
2025-10,-0.2327332091887967,ret60,20
2025-11,0.02098742031603452,ret60,20
2025-12,0.25194355963407333,ret60,20
2026-01,0.4065983925330568,ret60,20
2026-02,-0.1792288603281603,ret60,20
2026-03,-0.10931846274588809,ret60,20
2026-04,0.1693214602385064,ret60,20
2026-05,0.023514245383573874,ret60,20
2026-06,-0.08890452732817265,ret60,20
2026-07,-0.42735995822295886,ret60,20
2026-08,-0.10506541045776333,ret60,20
2025-01,-0.09864105642256903,bias20,20
2025-02,-0.03636373162580434,bias20,20
2025-03,0.07338020922654778,bias20,20
2025-04,-0.3198111033601924,bias20,20
2025-05,-0.007976616324967932,bias20,20
2025-06,0.0004801920768307304,bias20,20
2025-07,-0.007176179951357353,bias20,20
2025-08,0.05412971293161568,bias20,20
2025-09,-0.04666135975891995,bias20,20
2025-10,-0.12073300870449699,bias20,20
2025-11,-0.05319946084191596,bias20,20
2025-12,0.17880990761368193,bias20,20
2026-01,0.13769121078558463,bias20,20
2026-02,-0.13481054853883476,bias20,20
2026-03,-0.22692531970514754,bias20,20
2026-04,0.016346278028194532,bias20,20
2026-05,0.10491386512257656,bias20,20
2026-06,-0.07345025124387322,bias20,20
